Identification,Common name,Scientific name,Country,References,Link
Virus Isolation,Rope squirrel,Funisciurus anerythrus,Democratic Republic of Congo (DRC),Khodakevich et al. 1986,https://doi.org/10.1016/S0140-6736(86)90748-8
Virus Isolation,Sooty mangabey,Cercocebus atys,Cote d'Ivoire,Radonić et al. 2014,https://doi.org/10.3201%2Feid2006.131329
Antibody Detection,Rope squirrel,Funisciurus anerythrus,"DRC, Ghana,",Reynolds et al. 2010,https://doi.org/10.4269%2Fajtmh.2010.09-0716
Antibody Detection,Giant pouched rats,Cricetomys emini,"Ghana, DRC",Reynolds et al. 2010,https://doi.org/10.4269%2Fajtmh.2010.09-0716
Antibody Detection,Sun squirrels,Heliociurus spp,Ghana,Reynolds et al. 2010,https://doi.org/10.4269%2Fajtmh.2010.09-0716
Antibody Detection,Elephant shrews,Petrodromus tetradactylus,DRC,Hutin et al. 2001,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2631782/pdf/11384521.pdf
Antibody Detection,Domestic pigs,Sus scrofa,DRC,Hutin et al. 2001,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2631782/pdf/11384521.pdf
Antibody Detection,African dormouse,Graphiurus lorraineus,DRC,Doty et al. 2017,https://doi.org/10.3390/v9100283
Antibody Detection,Rusty-nosed rat,Oenomys hypoxanthus,DRC,Doty et al. 2017,https://doi.org/10.3390/v9100283
Antibody Detection,Grivet,Cercopithecus aethiops,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
Antibody Detection,Mona monkey,Cercopithecus mona,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
Antibody Detection,Lesser spot-nosed monkey,Cercopithecus petaurista,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
Antibody Detection,Greater spot-nosed monkey,Cercopithecus nictitans,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
Antibody Detection,Western red colobus,Colobus badius,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
Antibody Detection,King colobus,Colobus polykomos,"Cote d'Ivoire, Liberia, Ghana, Mali",Breman et al. 1977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366701/pdf/bullwho00448-0063.pdf
